country,year,quarter,event_date,event_type,status,policy_impact_score,cross_border_implications,international_treaty_linked,civil_society_opposition_score,industry_lobbying_score,source_type
Poland,2024,Q3,2024-08-19,AI Liability Bill Introduced,Proposed,2.0,0,0,7.2,6.0,NGO Report
India,2025,Q1,2025-02-28,GenAI Export Control,Enacted,7.0,0,0,2.8,7.7,Parliamentary Record
South Africa,2024,Q4,2024-11-14,AI Audit Requirement,Proposed,6.9,0,0,5.0,3.9,News Wire
India,2022,Q1,2022-01-06,GenAI Export Control,Enacted,3.5,1,0,1.3,1.5,News Wire
Canada,2022,Q2,2022-04-19,AI Copyright Amendment,Passed,3.8,1,0,1.5,3.7,News Wire
India,2025,Q2,2025-06-01,Deepfake Law Passed,Proposed,8.8,0,0,7.4,9.7,Official Gazette
Brazil,2023,Q4,2023-12-05,Border AI Inspection Policy,Enacted,6.5,0,0,5.9,5.6,Official Gazette
South Korea,2024,Q3,2024-08-19,GenAI Moratorium Proposed,Enacted,3.5,1,0,9.0,6.7,Press Release
Poland,2024,Q4,2024-10-23,AI Transparency Act,Enacted,1.8,0,0,2.9,8.5,Press Release
Israel,2022,Q1,2022-03-19,AI Content Labelling Law,Enacted,3.3,1,0,0.5,1.6,Press Release
Saudi Arabia,2025,Q4,2025-10-11,AI Ethics Board Formed,Rejected,9.3,1,0,4.9,8.4,Parliamentary Record
Poland,2024,Q3,2024-09-19,AI Transparency Act,Enacted,7.7,1,0,2.1,6.5,News Wire
China,2022,Q4,2022-10-25,AI Audit Requirement,In Committee,5.1,0,0,2.7,4.4,Official Gazette
Germany,2025,Q2,2025-06-20,AI Regulatory Framework Enacted,In Committee,6.4,0,0,9.5,0.3,News Wire
France,2025,Q2,2025-04-14,Public AI Consultation Launched,In Committee,3.7,0,0,6.7,1.4,Press Release
Japan,2025,Q1,2025-01-06,AI Liability Bill Introduced,In Committee,3.5,0,0,8.6,9.9,NGO Report
Canada,2024,Q1,2024-03-15,Algorithmic Accountability Act,Passed,1.6,1,0,1.7,8.3,Parliamentary Record
China,2025,Q4,2025-12-06,Deepfake Law Passed,In Committee,7.1,1,1,9.4,5.4,Press Release
Brazil,2025,Q2,2025-05-19,AI in Healthcare Regulation,In Committee,6.7,0,1,5.5,0.1,News Wire
France,2023,Q3,2023-07-16,Border AI Inspection Policy,Proposed,7.5,0,0,2.2,0.1,News Wire
Spain,2025,Q3,2025-09-15,Border AI Inspection Policy,Under Review,8.3,0,1,8.4,3.0,Parliamentary Record
Kenya,2024,Q1,2024-02-18,AI Safety Agency Established,Proposed,3.7,0,0,7.7,6.4,Official Gazette
Nigeria,2025,Q4,2025-10-02,National AI Strategy Published,In Committee,1.6,1,0,7.5,7.4,Parliamentary Record
Brazil,2025,Q2,2025-05-23,AI Liability Bill Introduced,Enacted,3.3,1,0,3.3,2.1,Press Release
Turkey,2024,Q3,2024-08-18,AI Liability Bill Introduced,Rejected,7.3,1,0,9.3,6.2,Press Release
Poland,2024,Q2,2024-05-19,AI Regulatory Framework Enacted,Passed,5.7,0,0,6.7,0.7,NGO Report
Israel,2022,Q4,2022-10-06,AI Workforce Reskilling Program,In Committee,5.6,1,1,9.5,2.5,NGO Report
Canada,2022,Q1,2022-02-06,AI Liability Bill Introduced,Withdrawn,2.9,1,0,7.7,1.8,Official Gazette
UAE,2024,Q4,2024-10-17,Generative AI Procurement Guidelines,Under Review,9.1,0,0,7.5,3.6,Official Gazette
New Zealand,2023,Q2,2023-06-14,AI Content Labelling Law,Passed,4.2,0,0,4.5,1.1,News Wire
France,2022,Q4,2022-10-23,AI Procurement Standards,Enacted,1.6,0,0,1.7,3.9,Official Gazette
Ireland,2024,Q4,2024-10-13,AI in Education Policy,Enacted,5.8,0,0,6.7,2.0,Parliamentary Record
Canada,2023,Q3,2023-09-26,National AI Strategy Published,In Committee,5.0,0,0,9.1,8.1,Parliamentary Record
UAE,2023,Q2,2023-06-28,AI Copyright Amendment,Under Review,5.0,1,0,6.0,4.3,News Wire
Canada,2022,Q1,2022-03-28,AI Copyright Amendment,Withdrawn,1.8,0,1,8.1,1.2,Parliamentary Record
Israel,2024,Q1,2024-01-14,Generative AI Procurement Guidelines,Proposed,6.5,0,0,7.1,7.0,Official Gazette
Brazil,2023,Q4,2023-10-16,AI Copyright Amendment,Under Review,8.9,0,1,9.9,8.6,Press Release
